SBV149,OPO TRANSIT INC.,Stand By Vehicle,Unspecified Dirver,149SBVB,1FMCU49H38KC34386,HYB,2008,M,312
SBV150,OPO TRANSIT INC.,Stand By Vehicle,Unspecified Dirver,150SBVB,1FMCU49H58KC34387,HYB,2008,M,312
SBV151,OPO TRANSIT INC.,Stand By Vehicle,Unspecified Dirver,151SBVB,1FMCU49H58KC34390,HYB,2008,M,312
SBV152,OPO TRANSIT INC,Stand By Vehicle,Unspecified Dirver,152SBVC,1FMCU49H78KC34391,HYB,2008,M,312
SBV153,ANYTHING GOES YELLOW CORP.,Stand By Vehicle,Unspecified Dirver,153SBVB,2FAHP70V29X142566,,2009,M,102
SBV154,KEY CAB CORP,Stand By Vehicle,Unspecified Dirver,154SBVA,2FAFP70V38X150763,,2008,M,14
SBV155,ANYTHING GOES YELLOW CORP.,Stand By Vehicle,Unspecified Dirver,155SBVB,2FAHP70V29X139439,,2009,M,102
SBV156,ANYTHING GOES YELLOW CORP.,Stand By Vehicle,Unspecified Dirver,156SBVB,2FABP7AV8AX129586,,2010,M,102
SBV157,KEY CAB CORP,Stand By Vehicle,Unspecified Dirver,157SBVA,2FAFP70V98X150766,,2008,M,14
SBV158,KEY CAB CORP,Stand By Vehicle,Unspecified Dirver,158SBVA,2FAFP70V88X150760,,2008,M,14
SBV159,KEY CAB CORP,Stand By Vehicle,Unspecified Dirver,159SBVA,2FAFP70W87X157621,,2007,M,14
SBV160,FOREGO TAXI CORP,Stand By Vehicle,Unspecified Dirver,160SBVB,2FAFP70V58X106439,,2008,M,13
SBV161,FOREGO TAXI CORP,Stand By Vehicle,Unspecified Dirver,161SBVC,2FAFP70V18X118698,,2008,M,13
SBV163,SINKERIA INC,Stand By Vehicle,Unspecified Dirver,163SBVB,2FAFP70V58X177320,,2008,M,113
SBV164,SINKERIA INC,Stand By Vehicle,Unspecified Dirver,164SBVB,2FAFP70V48X177308,,2008,M,113
SBV165,NY MANAGEMENT GROUP INC,Stand By Vehicle,Unspecified Dirver,165SBVH,1FMCU4K30BKA88230,HYB,2011,M,
SBV166,NY MANAGEMENT GROUP INC,Stand By Vehicle,Unspecified Dirver,166SBVH,1FMCU4K36BKA88233,HYB,2011,M,
SBV167,MATT CAB CORP,Stand By Vehicle,Unspecified Dirver,167SBVA,2FABP7AV7BX160555,,2011,M,15
SBV168,SBV TAXI CORP,Stand By Vehicle,Unspecified Dirver,168SBVH,2FABP7AV5BX127490,,2011,M,
SBV169,SBV TAXI CORP,Stand By Vehicle,Unspecified Dirver,169SBVC,2FAHP70V19X127038,,2009,M,11
SBV170,SBV TAXI CORP,Stand By Vehicle,Unspecified Dirver,170SBVB,2FAHP70V59X134011,,2009,M,11
SBV171,SBV TAXI CORP,Stand By Vehicle,Unspecified Dirver,171SBVB,2FAHP70V59X131433,,2009,M,11
SBV172,SBV TAXI CORP,Stand By Vehicle,Unspecified Dirver,172SBVB,2FAHP70V39X131429,,2009,M,11
SBV175,UTC TRANSPORTATION CORP,Stand By Vehicle,Unspecified Dirver,175SBVA,2FAFP70V38X177235,,2008,M,105
SBV176,UTC TRANSPORTATION CORP,Stand By Vehicle,Unspecified Dirver,176SBVA,2FAFP70V88X177229,,2008,M,105
SBV177,ANYTHING GOES YELLOW CORP,Stand By Vehicle,Unspecified Dirver,177SBVB,2FAHP70V09X144221,,2009,M,102
SBV178,ANYTHING GOES YELLOW CORP,Stand By Vehicle,Unspecified Dirver,178SBVB,2FABP7AV4AX131299,,2010,M,102
SBV179,SBV TAXI CORP,Stand By Vehicle,Unspecified Dirver,179SBVB,2FAHP70V09X140394,,2009,M,11
SBV180,PETER ALEXANDER TRANS CORP,Stand By Vehicle,Unspecified Dirver,180SBVB,2FABP7AV3AX106149,,2010,M,290
SBV181,JAC SBV CORP,Stand By Vehicle,Unspecified Dirver,181SBVB,2FABP7AV6AX112995,,2010,M,325
SBV182,JAC SBV CORP,Stand By Vehicle,Unspecified Dirver,182SBVB,2FABP7AV4AX106158,,2010,M,325
SBV183,JAC SBV CORP,Stand By Vehicle,Unspecified Dirver,183SBVB,2FABP7AV1AX102150,,2010,M,325
SBV184,JAC SBV CORP,Stand By Vehicle,Unspecified Dirver,184SBVB,2FABP7AV1AX108742,,2010,M,325
SBV185,JAC SBV CORP,Stand By Vehicle,Unspecified Dirver,185SBVB,2FABP7AV8AX130575,,2010,M,325
SBV186,JAC SBV CORP,Stand By Vehicle,Unspecified Dirver,186SBVB,2FABP7AV4AX108749,,2010,M,325
SBV187,GOT TAXI LLC,Stand By Vehicle,Unspecified Dirver,187SBVB,2FABP7AV6AX108722,,2010,M,232
SBV188,GOT TAXI LLC,Stand By Vehicle,Unspecified Dirver,188SBVB,2FABP7AV2AX108734,,2010,M,232
SBV189,DOUBLE FOUR CORP,Stand By Vehicle,Unspecified Dirver,189SBVB,2FABP7AV5AX131263,,2010,M,225
SBV191,OMFG TRANSIT LLC,Stand By Vehicle,Unspecified Dirver,191SBVB,4T1BB3EKXBU130499,HYB,2011,M,326
SBV192,OMFG TRANSIT LLC,Stand By Vehicle,Unspecified Dirver,192SBVB,4T1BB3EK1BU130892,HYB,2011,M,326
SBV193,OMFG TRANSIT LLC,Stand By Vehicle,Unspecified Dirver,193SBVB,4T1BB3EK1BU130732,HYB,2011,M,326
SBV194,OMFG TRANSIT LLC,Stand By Vehicle,Unspecified Dirver,194SBVB,4T1BB3EK7BU132193,HYB,2011,M,326
SBV195,OMFG_TRANSIT LLC,Stand By Vehicle,Unspecified Dirver,195SBVB,4T1BB3EK4BU128893,HYB,2011,M,326
SBV196,OMFG TRANSIT LLC,Stand By Vehicle,Unspecified Dirver,196SBVB,4T1BB3EK5BU133147,HYB,2011,M,326
SBV197,OMFG TRANSIT LLC,Stand By Vehicle,Unspecified Dirver,197SBVB,4T1BB3EK6BU133190,HYB,2011,M,326
SBV198,OMFG TRANSIT LLC,Stand By Vehicle,Unspecified Dirver,198SBVC,4T1BB3EK4AU124079,HYB,2010,M,326
SBV208,FOREGO TAXI CORP,Stand By Vehicle,Unspecified Dirver,208SBVB,2FAFP70V38X123904,,2008,M,13
SBV238,DHARMA MGMT CORP,Stand By Vehicle,Unspecified Dirver,238SBVF,1N4AL2AP8CN419536,,2011,M,17
SBV245,FOREGO TAXI CORP,Stand By Vehicle,Unspecified Dirver,245SBVB,2FAHP70V39X100066,,2009,M,13
